what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1301363703181
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301363704654
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301363704885
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1301363707822
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301363712153
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301363737231
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301363738244
executed,command,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit.junitShortcut.run",1301363742148
opened,view,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit.ResultView",1301363742484
activated,view,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit.ResultView",1301363742528
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301363742555
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301363745640
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301363998503
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301363998546
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301363999897
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301364001209
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1301364029526
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1301364029689
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1301364029865
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1301364031971
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1301364038350
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1301364038724
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1301364039740
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1301364042182
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1301364054171
activated,view,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit.ResultView",1301364058918
executed,command,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit.junitShortcut.rerunLast",1301364058978
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301364064285
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301364099088
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301364099135
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301364102030
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301364110442
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301364205130
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1301364227820
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301364230240
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301364588916
activated,view,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit.ResultView",1301364588945
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301364592208
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301364593682
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301364593757
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301364597072
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1301364599132
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301364599186
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1301364645047
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1301364650693
